clique,tamanho,participantes
132,27,P004;P007;P013;P015;P018;P022;P041;P043;P048;P056;P060;P071;P072;P081;P087;P088;P092;P098;P099;P111;P116;P117;P121;P126;P131;P133;P_TESTE
133,27,P005;P007;P008;P013;P015;P022;P025;P041;P043;P048;P056;P071;P072;P077;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
134,27,P005;P007;P008;P013;P015;P025;P041;P043;P048;P056;P071;P072;P077;P080;P087;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
135,27,P005;P007;P013;P015;P022;P036;P041;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P122;P126;P131;P_TESTE
136,27,P005;P007;P013;P015;P022;P036;P043;P044;P048;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P121;P122;P126;P131;P133;P_TESTE
137,27,P005;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
138,27,P005;P007;P013;P015;P025;P041;P043;P049;P055;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P122;P126;P131;P133;P_TESTE
139,27,P005;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P080;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
140,27,P005;P007;P013;P015;P025;P041;P043;P049;P056;P062;P071;P081;P087;P088;P091;P092;P094;P099;P111;P116;P117;P121;P122;P126;P131;P133;P_TESTE
141,26,P001;P004;P007;P013;P015;P018;P022;P035;P037;P041;P048;P056;P072;P081;P082;P087;P092;P094;P098;P103;P111;P116;P121;P126;P131;P_TESTE
142,26,P001;P004;P007;P013;P015;P018;P025;P030;P048;P049;P059;P072;P077;P081;P088;P092;P094;P098;P099;P103;P111;P116;P117;P126;P131;P_TESTE
143,26,P001;P004;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
144,26,P001;P004;P007;P013;P015;P022;P035;P036;P037;P041;P048;P056;P072;P081;P087;P088;P092;P094;P098;P099;P111;P121;P126;P131;P133;P_TESTE
145,26,P001;P004;P007;P013;P015;P022;P035;P036;P041;P048;P056;P072;P081;P087;P088;P091;P092;P094;P098;P099;P103;P111;P121;P126;P131;P_TESTE
146,26,P001;P004;P007;P013;P015;P022;P036;P041;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P111;P126;P131;P133;P_TESTE
147,26,P001;P007;P008;P013;P015;P025;P041;P043;P048;P053;P056;P071;P072;P077;P080;P091;P092;P098;P111;P116;P117;P121;P122;P126;P131;P_TESTE
148,26,P001;P007;P013;P015;P022;P025;P035;P043;P048;P056;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P116;P121;P126;P131;P133;P_TESTE
149,26,P001;P007;P013;P015;P022;P036;P041;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P111;P122;P126;P131;P133;P_TESTE
150,26,P001;P007;P013;P015;P022;P036;P043;P048;P055;P056;P071;P072;P081;P087;P088;P091;P092;P094;P099;P104;P111;P122;P126;P131;P133;P_TESTE
